threshold,delay_bars,horizon_bars,horizon_s,n_trades,trades_wk,mean_gross,mean_net
2.0,0,1,1,44929,1209.626923076923,0.2771272452091083,-0.02287275479089168
2.0,0,2,20,42502,1144.2846153846153,0.33200319984940996,0.03200319984940997
2.0,0,3,30,40373,1086.9653846153844,0.3473311371461188,0.04733113714611881
2.0,0,6,60,35702,961.2076923076922,0.39391070528262917,0.09391070528262918
2.0,0,12,120,29713,799.9653846153846,0.4051559923265821,0.10515599232658213
2.0,1,1,1,44929,1209.626923076923,0.05339535711900026,-0.24660464288099973
2.0,1,2,20,42502,1144.2846153846153,0.0671027245776721,-0.2328972754223279
2.0,1,3,30,40373,1086.9653846153844,0.09254452232927556,-0.20745547767072442
2.0,1,6,60,35702,961.2076923076922,0.1225491569099762,-0.1774508430900238
2.0,1,12,120,29713,799.9653846153846,0.1353313364520537,-0.1646686635479463
2.5,0,1,1,18023,485.2346153846153,0.37459080064362055,0.07459080064362056
2.5,0,2,20,17342,466.9,0.44029523699688405,0.14029523699688407
2.5,0,3,30,16720,450.15384615384613,0.4555083732057483,0.15550837320574828
2.5,0,6,60,15472,416.5538461538461,0.5204142967942297,0.2204142967942297
2.5,0,12,120,13881,373.71923076923076,0.48767019667169975,0.18767019667169976
2.5,1,1,1,18023,485.2346153846153,0.0586417355601184,-0.2413582644398816
2.5,1,2,20,17342,466.9,0.0757842232729901,-0.22421577672700987
2.5,1,3,30,16720,450.15384615384613,0.09472787081339953,-0.20527212918660045
2.5,1,6,60,15472,416.5538461538461,0.13799444157189117,-0.16200555842810882
2.5,1,12,120,13881,373.71923076923076,0.13695338952524186,-0.16304661047475813
3.0,0,1,1,8693,234.04230769230767,0.5098412515817228,0.2098412515817228
3.0,0,2,20,8403,226.23461538461535,0.6058074497203428,0.30580744972034285
3.0,0,3,30,8124,218.72307692307692,0.6205625307730279,0.32056253077302793
3.0,0,6,60,7594,204.45384615384614,0.6461614432447,0.34616144324470005
3.0,0,12,120,6939,186.81923076923076,0.5611111111110895,0.2611111111110895
3.0,1,1,1,8693,234.04230769230767,0.1044863683423597,-0.1955136316576403
3.0,1,2,20,8403,226.23461538461535,0.11289420445081672,-0.18710579554918327
3.0,1,3,30,8124,218.72307692307692,0.10518217626786125,-0.19481782373213874
3.0,1,6,60,7594,204.45384615384614,0.13750987621807886,-0.16249012378192113
3.0,1,12,120,6939,186.81923076923076,0.1411802853437077,-0.1588197146562923
