threshold,persistence_bars,persistence_s,delay_bars,delay_s,horizon_bars,horizon_s,cost,n_trades,trades_wk,mean_gross,mean_net,sharpe,win_rate
3.0,0,0,0,0,1,10,0.3,8693,234.04230769230767,0.5098412515817228,0.2098412515817228,0.06470164929809141,0.5091452893132405
3.0,0,0,0,0,1,10,0.5,8693,234.04230769230767,0.5098412515817228,0.009841251581722818,0.0030344138900016827,0.42712527320832855
3.0,0,0,0,0,1,10,0.7,8693,234.04230769230767,0.5098412515817228,-0.19015874841827718,-0.05863282151808805,0.3574140112734384
3.0,0,0,0,0,2,20,0.3,8403,226.23461538461535,0.6058074497203428,0.3058074497203428,0.08559285774538884,0.535404022372962
3.0,0,0,0,0,2,20,0.5,8403,226.23461538461535,0.6058074497203428,0.10580744972034281,0.02961458918217204,0.4629299059859574
3.0,0,0,0,0,2,20,0.7,8403,226.23461538461535,0.6058074497203428,-0.09419255027965716,-0.026363679381044752,0.40449839343091754
3.0,0,0,0,0,3,30,0.3,8124,218.72307692307692,0.6205625307730279,0.3205625307730278,0.07609033579472697,0.5387740029542097
3.0,0,0,0,0,3,30,0.5,8124,218.72307692307692,0.6205625307730279,0.12056253077302787,0.028617329132820987,0.4791974396848843
3.0,0,0,0,0,3,30,0.7,8124,218.72307692307692,0.6205625307730279,-0.07943746922697209,-0.01885567752908499,0.4245445593303791
3.0,0,0,0,0,6,60,0.3,7594,204.45384615384614,0.6461614432447,0.34616144324469994,0.07291411456722179,0.5330524097972084
3.0,0,0,0,0,6,60,0.5,7594,204.45384615384614,0.6461614432447,0.1461614432447,0.0307868840566423,0.4902554648406637
3.0,0,0,0,0,6,60,0.7,7594,204.45384615384614,0.6461614432447,-0.053838556755299895,-0.011340346453937179,0.4528575190940216
3.0,0,0,0,0,12,120,0.3,6939,186.81923076923076,0.5611111111110895,0.2611111111110894,0.05300006157032247,0.5245712638708747
3.0,0,0,0,0,12,120,0.5,6939,186.81923076923076,0.5611111111110895,0.06111111111108951,0.012404269729221054,0.49459576307825337
3.0,0,0,0,0,12,120,0.7,6939,186.81923076923076,0.5611111111110895,-0.13888888888891035,-0.028191522111880352,0.46346735840899267
