bucket,n,mean_mid,mean_net,hit_rate,threshold,horizon
<0.6p,6688,0.35292314593302726,-0.21547547846882145,0.4072966507177033,3.0,30s
0.6–0.8p,3948,0.3906661600810523,-0.37689969604859574,0.3543566362715299,3.0,30s
0.8–1.0p,5679,0.47084874097551344,-0.4711216763515547,0.34653988378235606,3.0,30s
>1.0p,4336,0.3702029520295188,-1.020318265682618,0.2809040590405904,3.0,30s
<0.6p,6123,0.41782622897271676,-0.2063204311611372,0.4545157602482443,3.0,120s
0.6–0.8p,3626,0.33244622173191,-0.4491726420297655,0.42636514065085496,3.0,120s
0.8–1.0p,5081,0.4454142885258498,-0.5340287345012047,0.40700649478449125,3.0,120s
>1.0p,3841,0.3022520177037179,-1.4015360583181111,0.35667794845092426,3.0,120s
<0.6p,5485,0.46577028258886116,-0.16594348222418054,0.47055606198723793,3.0,300s
0.6–0.8p,3198,0.2814727954971898,-0.49302689180734005,0.4449656035021889,3.0,300s
0.8–1.0p,4456,0.4039721723518762,-0.583482944344799,0.4378366247755835,3.0,300s
>1.0p,3325,0.18270676691732954,-1.3929022556390507,0.38646616541353385,3.0,300s
<0.6p,3523,0.43332387170027503,-0.14694862333230485,0.448481407891002,3.5,30s
0.6–0.8p,2188,0.45422760511882315,-0.31777879341860804,0.38254113345521024,3.5,30s
0.8–1.0p,3267,0.5727578818487717,-0.39161310070409255,0.3856749311294766,3.5,30s
>1.0p,2801,0.43975365940733957,-0.997036772581178,0.30631917172438416,3.5,30s
<0.6p,3324,0.4813628158844971,-0.15451263537899945,0.4693140794223827,3.5,120s
0.6–0.8p,2035,0.4430221130220824,-0.34113022113020275,0.4437346437346437,3.5,120s
0.8–1.0p,3015,0.5442288557213534,-0.4628855721394203,0.433167495854063,3.5,120s
>1.0p,2553,0.41363102232663584,-1.2553074813944045,0.3721112416764591,3.5,120s
<0.6p,3090,0.5698220064724984,-0.08828478964393024,0.47572815533980584,3.5,300s
0.6–0.8p,1873,0.35488521089160013,-0.434703683929467,0.45274959957287775,3.5,300s
0.8–1.0p,2730,0.468608058608054,-0.5403296703297794,0.4461538461538462,3.5,300s
>1.0p,2311,0.18829511034187113,-1.3809173517956965,0.3864128083080917,3.5,300s
<0.6p,2110,0.4871327014218299,-0.10919431279612622,0.46255924170616114,4.0,30s
0.6–0.8p,1359,0.5659676232524311,-0.2130242825606462,0.42678440029433407,4.0,30s
0.8–1.0p,2059,0.6720495386109521,-0.2912578921807655,0.41476444876153473,4.0,30s
>1.0p,2029,0.4584031542631271,-0.9746673238047782,0.3104977821586989,4.0,30s
<0.6p,2021,0.5104898565067194,-0.14240475012362874,0.4730331519049975,4.0,120s
0.6–0.8p,1290,0.39298449612401326,-0.41837209302324085,0.4511627906976744,4.0,120s
0.8–1.0p,1939,0.6146209386281063,-0.3960288808665378,0.444559051057246,4.0,120s
>1.0p,1886,0.5283934252385557,-1.1455461293742892,0.37910922587486745,4.0,120s
<0.6p,1913,0.6233925771040488,-0.03957135389432814,0.47987454260324097,4.0,300s
0.6–0.8p,1219,0.4295324036095139,-0.3683347005741951,0.4585726004922067,4.0,300s
0.8–1.0p,1799,0.3809338521400579,-0.6092273485270702,0.4491384102279044,4.0,300s
>1.0p,1743,0.315834767642017,-1.2298909925415384,0.3769363166953528,4.0,300s
<0.6p,1339,0.5744958924570917,-0.0316654219566179,0.49066467513069456,4.5,30s
0.6–0.8p,895,0.6644692737430481,-0.17072625698316288,0.4592178770949721,4.5,30s
0.8–1.0p,1410,0.7228723404255164,-0.24907801418449507,0.4375886524822695,4.5,30s
>1.0p,1533,0.6087410306588147,-0.8642530984996262,0.3202870189171559,4.5,30s
<0.6p,1289,0.5989138867339896,-0.042435996896723435,0.48332040341349886,4.5,120s
0.6–0.8p,853,0.610492379835864,-0.21664712778428355,0.492379835873388,4.5,120s
0.8–1.0p,1349,0.7360266864343159,-0.31119347664951075,0.4573758339510749,4.5,120s
>1.0p,1441,0.6110687022900146,-1.0365024288687927,0.3837612768910479,4.5,120s
<0.6p,1242,0.6387681159420964,-0.012077294685887086,0.47665056360708535,4.5,300s
0.6–0.8p,823,0.783961117861449,-0.00935601458077691,0.488456865127582,4.5,300s
0.8–1.0p,1258,0.41315580286167014,-0.5653418124007654,0.45310015898251194,4.5,300s
>1.0p,1345,0.4910037174721445,-1.077323420074292,0.38884758364312266,4.5,300s
